country_name,Country Code,Series Name,Series Code,Urban Pop. Rate
"Gambia, The",GMB,Urban population growth (annual %),SP.URB.GROW,4.075764597
Georgia,GEO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.448
Georgia,GEO,Urban population growth (annual %),SP.URB.GROW,0.822919001
Germany,DEU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.2
Germany,DEU,Urban population growth (annual %),SP.URB.GROW,0.878656939
Ghana,GHA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,54.086
Ghana,GHA,Urban population growth (annual %),SP.URB.GROW,3.605160954
Gibraltar,GIB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Gibraltar,GIB,Urban population growth (annual %),SP.URB.GROW,0.209321015
Greece,GRC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,78.046
Greece,GRC,Urban population growth (annual %),SP.URB.GROW,-0.217128484
Greenland,GRL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.071
Greenland,GRL,Urban population growth (annual %),SP.URB.GROW,-0.020702648
Grenada,GRD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.997
Grenada,GRD,Urban population growth (annual %),SP.URB.GROW,1.013783822
Guam,GUM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,94.534
Guam,GUM,Urban population growth (annual %),SP.URB.GROW,0.348853334
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,49.971
Guatemala,GTM,Urban population growth (annual %),SP.URB.GROW,2.368139661
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.141
Guinea,GIN,Urban population growth (annual %),SP.URB.GROW,3.420999075
Guinea-Bissau,GNB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.123
Guinea-Bissau,GNB,Urban population growth (annual %),SP.URB.GROW,3.555964431
Guyana,GUY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,26.441
Guyana,GUY,Urban population growth (annual %),SP.URB.GROW,0.622053167
Haiti,HTI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,52.427
Haiti,HTI,Urban population growth (annual %),SP.URB.GROW,3.332683828
Honduras,HND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.165
Honduras,HND,Urban population growth (annual %),SP.URB.GROW,2.99648243
"Hong Kong SAR, China",HKG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
"Hong Kong SAR, China",HKG,Urban population growth (annual %),SP.URB.GROW,0.851197911
Hungary,HUN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,70.5
Hungary,HUN,Urban population growth (annual %),SP.URB.GROW,0.150141441
Iceland,ISL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,93.7
Iceland,ISL,Urban population growth (annual %),SP.URB.GROW,1.077160783
India,IND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,32.777
India,IND,Urban population growth (annual %),SP.URB.GROW,2.394052977
Indonesia,IDN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.313
Indonesia,IDN,Urban population growth (annual %),SP.URB.GROW,2.390745353
